time,PT1: HP,PT2: FUEL,PT3: OX,PT4: ENG?, PT5,PT6,PT7,PT8
18:53:44:581,1142,429,301,2837,26654,11782,9068,2837
18:53:44:706,1142,425,316,2846,26660,11718,9387,2846
18:53:44:892,1142,423,330,2837,26669,11655,9694,2837
18:53:45:017,1143,420,344,2843,26674,11603,9988,2843
18:53:45:175,1143,417,356,2838,26683,11544,10244,2838
18:53:45:301,1143,414,368,2831,26690,11481,10484,2831
18:53:45:487,1144,412,379,2839,26698,11424,10718,2839
18:53:45:612,1144,412,389,2843,26700,11437,10941,2843
18:53:45:738,1144,422,399,2840,26705,11639,11161,2840
18:53:45:893,1144,431,409,2831,26705,11839,11373,2831
18:53:46:080,1145,441,420,2838,26722,12036,11591,2838
18:53:46:204,1145,450,430,2840,26720,12244,11808,2840
18:53:46:391,1145,460,440,2841,26717,12444,12022,2841
18:53:46:517,1145,469,450,2845,26720,12648,12228,2845
18:53:46:674,1145,479,460,2841,26716,12852,12443,2841
18:53:46:798,1145,489,469,2839,26718,13054,12652,2839
18:53:46:984,1145,497,480,2836,26720,13242,12867,2836
18:53:47:108,1145,506,489,2843,26716,13432,13065,2843
18:53:47:297,1145,351,494,2842,26718,10145,13177,2842
18:53:47:423,1145,500,496,2838,26728,13286,13207,2838
18:53:47:580,1145,447,495,2835,26721,12174,13205,2835
18:53:47:703,1145,346,462,2845,26721,10032,12483,2845
18:53:47:890,1145,433,343,2838,26720,11869,9954,2838
18:53:48:015,1145,429,292,2836,26723,11796,8876,2836
18:53:48:142,1145,426,307,2840,26717,11721,9191,2840
18:53:48:279,1145,423,321,2839,26718,11667,9495,2839
18:53:48:483,1145,420,336,2842,26717,11605,9811,2842
18:53:48:610,1145,417,349,2841,26723,11543,10089,2841
18:53:48:795,1145,415,361,2836,26716,11486,10334,2836
18:53:48:918,1145,412,371,2837,26721,11424,10559,2837
18:53:49:076,1145,409,382,2842,26722,11367,10794,2842
18:53:49:201,1145,416,392,2842,26718,11522,11009,2842
18:53:49:389,1145,426,403,2835,26719,11721,11234,2835
18:53:49:515,1145,435,413,2837,26723,11910,11448,2837
18:53:49:641,1145,444,423,2841,26716,12118,11663,2841
18:53:49:792,1145,454,433,2840,26717,12322,11880,2840
18:53:49:978,1145,464,443,2839,26720,12525,12088,2839
18:53:50:101,1144,473,453,2835,26711,12722,12292,2835
18:53:50:290,1145,482,463,2838,26722,12920,12516,2838
18:53:50:416,1145,492,473,2841,26722,13125,12729,2841
18:53:50:545,1145,501,483,2845,26721,13318,12933,2845
18:53:50:683,1145,510,492,2840,26717,13504,13129,2840
18:53:50:871,1145,457,492,2840,26714,12391,13121,2840
18:53:50:995,1145,379,496,2835,26723,10731,13218,2835
18:53:51:183,1145,491,497,2833,26725,13096,13234,2833
18:53:51:308,1145,430,497,2840,26717,11808,13247,2840
18:53:51:495,1145,353,462,2840,26718,10186,12502,2840
18:53:51:620,1145,437,344,2839,26718,11956,9973,2839
18:53:51:775,1145,433,290,2841,26723,11875,8825,2841
18:53:51:900,1145,429,305,2840,26721,11800,9162,2840
18:53:52:086,1145,426,322,2836,26715,11726,9504,2836
18:53:52:211,1145,423,336,2835,26727,11657,9810,2835
18:53:52:398,1145,420,349,2839,26717,11596,10086,2839
18:53:52:523,1145,417,361,2840,26719,11529,10339,2840
18:53:52:680,1145,413,371,2833,26722,11463,10558,2833
18:53:52:804,1145,411,382,2837,26722,11405,10782,2837
18:53:52:992,1145,417,392,2840,26719,11531,11001,2840
18:53:53:117,1145,426,402,2837,26718,11727,11216,2837
18:53:53:246,1145,435,412,2846,26714,11922,11434,2846
18:53:53:381,1145,445,423,2839,26720,12130,11653,2839
