time,PT1: HP,PT2: FUEL,PT3: OX,PT4: ENG?, PT5,PT6,PT7,PT8
18:43:42:636,1,2,1,2828,2687,2742,2685,2828
18:43:42:777,1,2,1,2838,2690,2748,2688,2838
18:43:42:964,1,2,4,2839,2687,2747,2745,2839
18:43:43:089,1,2,9,2840,2683,2750,2849,2840
18:43:43:242,1,2,17,2835,2688,2747,3031,2835
18:43:43:368,1,2,25,2842,2688,2748,3197,2842
18:43:43:556,1,2,32,2830,2688,2744,3344,2830
18:43:43:681,1,2,39,2843,2690,2743,3485,2843
18:43:43:836,1,2,45,2838,2689,2749,3621,2838
18:43:43:975,1,2,51,2838,2687,2745,3754,2838
18:43:44:163,1,2,57,2835,2686,2755,3885,2835
18:43:44:289,1,2,64,2836,2688,2749,4015,2836
18:43:44:446,1,2,70,2835,2684,2748,4160,2835
18:43:44:572,1,2,77,2842,2690,2747,4294,2842
18:43:44:760,1,2,84,2837,2687,2742,4450,2837
18:43:44:885,1,2,91,2841,2690,2745,4606,2841
18:43:45:043,1,2,100,2837,2687,2743,4785,2837
18:43:45:168,1,2,108,2835,2694,2744,4964,2835
18:43:45:352,1,2,117,2835,2693,2748,5144,2835
18:43:45:476,1,2,125,2835,2692,2750,5316,2835
18:43:45:663,1,2,133,2834,2687,2748,5496,2834
18:43:45:786,1,2,141,2842,2687,2745,5673,2842
18:43:45:943,1,2,149,2836,2689,2746,5837,2836
18:43:46:066,1,2,157,2840,2689,2750,6006,2840
18:43:46:253,1,2,164,2837,2681,2749,6159,2837
18:43:46:379,1,2,172,2833,2684,2746,6324,2833
18:43:46:567,1,2,180,2836,2687,2749,6482,2836
18:43:46:692,1,2,186,2839,2685,2746,6628,2839
18:43:46:851,1,2,193,2832,2691,2739,6772,2832
18:43:46:978,1,2,199,2837,2686,2742,6888,2837
18:43:47:165,1,2,204,2839,2685,2749,7001,2839
18:43:47:289,1,2,209,2837,2690,2749,7106,2837
18:43:47:445,1,2,213,2842,2692,2748,7199,2842
18:43:47:572,1,2,218,2839,2685,2747,7304,2839
18:43:47:759,1,2,223,2837,2686,2748,7404,2837
18:43:47:882,1,2,227,2828,2691,2750,7498,2828
18:43:48:068,1,2,231,2834,2688,2747,7588,2834
18:43:48:192,1,2,236,2837,2690,2744,7679,2837
18:43:48:348,1,2,239,2836,2684,2746,7751,2836
18:43:48:474,1,2,242,2835,2687,2743,7821,2835
18:43:48:661,1,2,246,2840,2690,2747,7904,2840
18:43:48:785,1,2,250,2838,2692,2742,7972,2838
18:43:48:940,1,2,253,2833,2694,2746,8037,2833
18:43:49:064,1,2,255,2835,2683,2749,8093,2835
18:43:49:253,1,2,258,2838,2686,2744,8149,2838
18:43:49:377,1,2,260,2843,2685,2745,8201,2843
18:43:49:564,1,2,262,2838,2688,2739,8247,2838
18:43:49:689,1,2,264,2839,2689,2750,8277,2839
18:43:49:845,1,2,265,2839,2688,2747,8303,2839
18:43:49:972,1,2,267,2832,2689,2738,8343,2832
18:43:50:157,1,2,269,2835,2690,2746,8382,2835
18:43:50:283,1,2,270,2835,2692,2748,8415,2835
18:43:50:471,1,2,272,2835,2684,2750,8448,2835
18:43:50:594,1,2,274,2841,2687,2748,8486,2841
18:43:50:749,1,2,275,2831,2686,2743,8516,2831
18:43:50:875,1,2,276,2837,2684,2749,8545,2837
18:43:51:062,1,2,278,2838,2685,2748,8582,2838
18:43:51:189,1,2,280,2833,2684,2748,8615,2833
18:43:51:374,1,2,281,2835,2686,2741,8644,2835
18:43:51:498,1,2,282,2832,2690,2747,8672,2832
18:43:51:655,1,2,284,2836,2686,2744,8695,2836
18:43:51:778,1,2,285,2841,2689,2747,8724,2841
18:43:51:965,1,2,286,2830,2685,2746,8746,2830
18:43:52:089,1,2,288,2838,2690,2747,8780,2838
18:43:52:245,1,2,289,2830,2684,2746,8804,2830
18:43:52:371,1,2,290,2835,2690,2744,8826,2835
18:43:52:557,1,2,291,2840,2685,2742,8851,2840
18:43:52:681,1,2,292,2835,2684,2745,8880,2835
18:43:52:871,1,2,293,2835,2685,2744,8903,2835
18:43:52:994,1,2,295,2839,2686,2743,8933,2839
18:43:53:151,1,2,296,2838,2685,2748,8953,2838
18:43:53:274,1,2,297,2835,2687,2745,8975,2835
18:43:53:462,1,2,298,2831,2688,2744,9001,2831
18:43:53:588,1,2,299,2842,2684,2747,9023,2842
18:43:53:775,1,2,300,2835,2688,2743,9050,2835
18:43:53:901,1,2,301,2833,2689,2743,9075,2833
18:43:54:041,1,2,302,2831,2692,2744,9092,2831
18:43:54:165,1,2,303,2838,2689,2747,9112,2838
18:43:54:355,1,2,304,2842,2685,2750,9136,2842
18:43:54:477,1,2,306,2833,2697,2749,9165,2833
18:43:54:665,1,2,307,2835,2689,2748,9185,2835
18:43:54:790,1,2,308,2830,2687,2744,9206,2830
18:43:54:947,1,2,309,2840,2688,2748,9227,2840
18:43:55:072,1,2,309,2836,2690,2748,9243,2836
18:43:55:260,1,2,310,2835,2692,2746,9267,2835
